' वह ढक्कनदार बर्तन जिसमें भोजन आदि रखते हैं',atemporal
' वह भवन जिसमें किसी राज्य, प्रांतीय सरकार अथवा किसी बड़ी संस्था के सचिवों, मंत्रियों और विभागीय अधिकारियों के प्रधान कार्यालय हों',atemporal
' वह जिसे लक्ष्य मानकर कोई बात कही जाए',atemporal
' किसी के विरुद्ध गलत जानकारी एकत्र करके उससे उसके न चाहते हुए भी अपने मनमाफिक काम कराने की क्रिया',atemporal
' एक खतरनाक जानलेवा संक्रामक रोग जो चूहों के द्वारा फैलता है',atemporal
' जंगली सनई',atemporal
' कोई कार्य करने की प्रक्रिया',atemporal
' अत्याधिक मेहनत करना',atemporal
' भारत के पंजाब राज्य के लुधियाना जिले का एक नगर',atemporal
' वह गड्ढा जिसमें चाक की कील रहती है',atemporal
' वह शारीरिक क्रिया जो अपने आप हो या अपनी इच्छा से न घटे',atemporal
' अपने कथन की सत्यता प्रमाणित करने के उद्देश्य से ईश्वर, देवता अथवा किसी पूज्य या अतिप्रिय व्यक्ति, वस्तु आदि की दुहाई देते हुए दृढ़तापूर्वक अपनी बात कहना (प्रायः अपनी बात पर जोर देने हेतु)',atemporal
' बत्तख की जाति का एक पक्षी',atemporal
' महाभारत का एक पर्व',atemporal
' वह अवस्था जब ग्रहण सूर्य या चंद्रमा के कुछ अंश पर ही लगता है',atemporal
' आत्मकथन से युक्त',atemporal
' धूप में सुखाया हुआ',atemporal
' जिसमें व्यंग्य अर्थ प्रधान हो (काव्य)',atemporal
' साहित्य में अपह्रुति अलंकार का एक भेद जिसमें किसी से कही जानेवाली कोई भेद की बात किसी तीसरे या अनभीष्ट व्यक्ति के सुन लेने पर कोई दूसरी बात बनाकर वह भेद छिपाने का उल्लेख होता है',atemporal
' काशी का एक प्रसिद्ध घाट जहाँ पहले गंगा में यमुना, सरस्वती, किरणा और धूतपापा नदियाँ मिलती थीं',atemporal
' किसी शूद्र की पत्नी',atemporal
' उपयोग का अभाव',atemporal
' जिसमें और वस्तु भरने या रखने के लिए जगह न हो',atemporal
' किसी वस्तु आदि की उलझन दूर होना',atemporal
' ताल ठोकने का शब्द',atemporal
' आंध्र प्रदेश के एक धर्म गुरु ',atemporal
' एक स्मृति के रचनाकार ',atemporal
' पैरों की सहायता से एक जगह से दूसरी जगह पर जाना',atemporal
